City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,wind speed
148,Armstrong,90,CA,1543885200,74,50.44,-119.19,33.8,5.82
149,Huangnihe,0,CN,1543889137,38,43.56,128.02,14.05,6.08
150,Mahebourg,20,MU,1543885200,88,-20.41,57.7,71.6,6.93
151,Uthal,12,PK,1543889137,90,25.81,66.62,56.21,4.52
152,Ponta do Sol,92,BR,1543889138,91,-20.63,-46,67.06,6.58
153,Kodiak,90,US,1543886100,68,39.95,-94.76,28.4,6.93
154,Port Hawkesbury,90,CA,1543887000,93,45.62,-61.36,42.8,6.93
155,Guadalupe y Calvo,0,MX,1543889139,58,26.09,-106.96,41.05,2.06
156,Gimli,76,CA,1543889003,91,50.63,-96.99,20.08,9.1
157,Vila,0,IT,1543888200,100,45.18,8.4,44.6,6.93
158,Orchard Homes,90,US,1543888380,74,46.86,-114.05,28.04,1.88
159,Teguldet,8,RU,1543889140,0,57.31,88.17,-32.13,3.33
160,Ijui,0,BR,1543888887,57,-28.39,-53.91,55.58,4.23
161,Sulangan,0,PH,1543889140,100,11.14,123.72,82.36,12.8
162,Gamba,0,CN,1543889140,32,28.28,88.52,11.08,2.28
163,Vostok,8,RU,1543889141,65,46.45,135.83,20.48,3.89
164,Boa Vista,40,BR,1543885200,58,2.82,-60.67,82.4,6.93
165,Emborion,0,GR,1543889142,83,40.48,21.55,21.61,2.28
166,Oshkosh,90,US,1543888560,63,44.02,-88.54,28.94,5.82
167,Antofagasta,20,CL,1543885200,72,-23.65,-70.4,64.4,11.41
168,Jiangyan,92,CN,1543889143,100,32.51,120.12,51.98,16.15
169,Fallon,90,US,1543884960,88,46.84,-105.12,28.04,8.05
170,Basco,90,US,1543888500,82,40.33,-91.2,32,9.17
171,Kaitangata,24,NZ,1543889143,99,-46.28,169.85,60.85,6.87
172,Sembakung,12,ID,1543889144,64,3.82,117.25,88.84,2.62
173,Lebu,20,ET,1543885200,76,8.96,38.73,50,2.55
174,Yefremov,56,RU,1543889144,84,53.14,38.12,9.1,10.83
